SITE_NO,DATE_TIME_HEURE,MATRIX,START_DEPTH_METERS,END_DEPTH_METERS,FLAG_MARQUEUR,VALUE_VALEUR,SDL_LDE,MDL_LDM,VMV_CODE,UNIT_UNITÉ,VARIABLE,VARIABLE_FR,STATUS_STATUT
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7093","NG/G","2,2',3,3',4,5,5',6,6'-NONACHLOROBIPHENYL (PCB 208)","2,2',3,3',4,5,5',6,6'-NONACHLOROBIPHÉNYLE (BPC 208)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","74","2.5","","7101","%","2,2',3,3',4,5,5',6,6'-NONACHLOROBIPHENYL-13C12 (CONGENER BZ NO. 208)","2,2',3,3',4,5,5',6,6'-NONACHLOROBIPHÉNYLE-13C12 (CONGÉNÈRE BZ NO. 208)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7090","NG/G","2,2',3,3',4,5,5',6'-OCTACHLOROBIPHENYL (PCB 199)","2,2',3,3',4,5,5',6'-OCTACHLOROBIPHÉNYLE (BPC 199)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7083","NG/G","2,2',3,3',4,5',6'-HEPTACHLOROBIPHENYL (PCB 177)","2,2',3,3',4,5',6'-HEPTACHLOROBIPHÉNYLE (BPC 177)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7073","NG/G","2,2',3,3',4,6'-HEXACHLOROBIPHENYL (PCB 132)","2,2',3,3',4,6'-HEXACHLOROBIPHÉNYLE (BPC 132)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7064","NG/G","2,2',3,3',4-PENTACHLOROBIPHENYL (PCB 82)","2,2',3,3',4-PENTACHLOROBIPHÉNYLE (BPC 82)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","106","2.5","","7099","%","2,2',3,3',5,5',6-HEPTACHLOROBIPHENYL-13C12 (CONGENER BZ NO .178)","2,2',3,3',5,5',6-HEPTACHLOROBIPHÉNYLE-13C12 (CONGÉNÈRE BZ NO. 178)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7084","NG/G","2,2',3,4,4',5,5'-HEPTACHLOROBIPHENYL (PCB 180)","2,2',3,4,4',5,5'-HEPTACHLOROBIPHÉNYLE (BPC 180)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7085","NG/G","2,2',3,4,4',5',6-HEPTACHLOROBIPHENYL (PCB 183)","2,2',3,4,4',5',6-HEPTACHLOROBIPHÉNYLE (BPC 183)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7086","NG/G","2,2',3,4',5,5',6-HEPTACHLOROBIPHENYL (PCB 187)","2,2',3,4',5,5',6-HEPTACHLOROBIPHÉNYLE (PCB 187)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7075","NG/G","2,2',3,4',5',6-HEXACHLOROBIPHENYL (PCB 149)","2,2',3,4',5',6-HEXACHLOROBIPHÉNYLE (BPC 149)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7065","NG/G","2,2',3,4,5'-PENTACHLOROBIPHENYL (PCB 87)","2,2',3,4,5'-PENTACHLOROBIPHÉNYLE (BPC 87)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7076","NG/G","2,2',3,5,5',6-HEXACHLOROBIPHENYL (PCB 151)","2,2',3,5,5',6-HEXACHLOROBIPHÉNYLE (BPC 151)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7066","NG/G","2,2',3,5',6-PENTACHLOROBIPHENYL (PCB 95)","2,2',3,5',6-PENTACHLOROBIPHÉNYLE (BPC 95)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7059","NG/G","2,2',3,5'-TETRACHLOROBIPHENYL (PCB 44)","2,2',3,5'-TÉTRACHLOROBIPHÉNYLE (BPC 44)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7077","NG/G","2,2',4,4',5,5'-HEXACHLOROBIPHENYL (PCB 153)","2,2',4,4',5,5'-HEXACHLOROBIPHÉNYLE (BPC 153)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","104","2.5","","7098","%","2,2',4,4',5,5'-HEXACHLOROBIPHENYL-13C12 (CONGENER BZ NO. 153)","2,2',4,4',5,5'-HEXACHLOROBIPHÉNYLE-13C12 (CONGÉNÈRE BZ NO. 153)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7067","NG/G","2,2',4,4',5-PENTACHLOROBIPHENYL (PCB 99)","2,2',4,4',5-PENTACHLOROBIPHÉNYLE (BPC 99)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7068","NG/G","2,2',4,5,5'-PENTACHLOROBIPHENYL (PCB 101)","2,2',4,5,5'-PENTACHLOROBIPHÉNYLE (BPC 101)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7060","NG/G","2,2',4,5'-TETRACHLOROBIPHENYL (PCB 49)","2,2',4,5'-TÉTRACHLOROBIPHÉNYLE (BPC 49)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7054","NG/G","2,2',4-TRICHLOROBIPHENYL (PCB 17)","2,2',4-TRICHLOROBIPHÉNYLE (BPC 17)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7061","NG/G","2,2',5,5'-TETRACHLOROBIPHENYL (PCB 52)","2,2',5,5'-TÉTRACHLOROBIPHÉNYLE (BPC 52)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","88.5","2.5","","7096","%","2,2',5,5'-TETRACHLOROBIPHENYL-13C12 (CONGENER BZ NO. 52)","2,2',5,5'-TÉTRACHLOROBIPHÉNYLE-13C12 (CONGÉNÈRE BZ NO. 52)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7055","NG/G","2,2',5-TRICHLOROBIPHENYL (PCB 18)","2,2',5-TRICHLOROBIPHÉNYLE (BPC 18)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7072","NG/G","2,2'3,3',4,4'-HEXACHLOROBIPHENYL (PCB 128)","2,2'3,3',4,4'-HEXACHLOROBIPHÉNYLE (BPC 128)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7091","NG/G","2,3,3',4,4',5,5',6-OCTACHLOROBIPHENYL (PCB 205)","2,3,3',4,4',5,5',6-OCTACHLOROBIPHÉNYLE (BPC 205)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7087","NG/G","2,3,3',4,4',5',6-HEPTACHLOROBIPHENYL (PCB 191)","2,3,3',4,4',5',6-HEPTACHLOROBIPHÉNYLE (BPC 191)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7078","NG/G","2,3,3',4,4',5-HEXACHLOROBIPHENYL (PCB 156)","2,3,3',4,4',5-HEXACHLOROBIPHÉNYLE (BPC 156)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7079","NG/G","2,3,3',4,4',6-HEXACHLOROBIPHENYL (PCB 158)","2,3,3',4,4',6-HEXACHLOROBIPHÉNYLE (BPC 158)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7070","NG/G","2,3,3',4',6-PENTACHLOROBIPHENYL (PCB 110)","2,3,3',4',6-PENTACHLOROBIPHÉNYLE (BPC 110)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","99.1","2.5","","7097","%","2,3,3',5,5'-PENTACHLOROBIPHENYL-13C12 (CONGENER BZ NO. 111)","2,3,3',5,5'-PENTACHLOROBIPHÉNYLE-13C12 (CONGÉNÈRE BZ NO. 111)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7069","NG/G","2,3,3'4,4'-PENTACHLOROBIPHENYL (PCB 105)","2,3,3'4,4'-PENTACHLOROBIPHÉNYLE (BPC 105)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7071","NG/G","2,3',4,4',5-PENTACHLOROBIPHENYL (PCB 118)","2,3',4,4',5-PENTACHLOROBIPHÉNYLE (PCB 118)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7062","NG/G","2,3',4',5-TETRACHLOROBIPHENYL (PCB 70)","2,3',4',5-TÉTRACHLOROBIPHÉNYLE (BPC 70)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7058","NG/G","2,3',4'-TRICHLOROBIPHENYL (PCB 33)","2,3',4'-TRICHLOROBIPHÉNYLE (BPC 33)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","6647","NG/G","2,3,5-TRIMETHYLNAPHTHALENE","2,3,5-TRIMÉTHYLNAPHTALÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7063","NG/G","2,4,4',5-TETRACHLOROBIPHENYL (PCB 74)","2,4,4',5-TÉTRACHLOROBIPHÉNYLE (BPC 74)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7056","NG/G","2,4,4'-TRICHLOROBIPHENYL (PCB 28)","2,4,4'-TRICHLOROBIPHÉNYLE (BPC 28)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","88.3","2.5","","7095","%","2,4,4'-TRICHLOROBIPHENYL-13C12 (CONGENER BZ NO. 28)","2,4,4'-TRICHLOROBIPHÉNYL-13C12 (CONGÉNÈRE BZ NO. 28)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7057","NG/G","2,4',5-TRICHLOROBIPHENYL (PCB 31)","2,4',5-TRICHLOROBIPHÉNYLE (BPC 31)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","6648","NG/G","2-CHLORONAPHTHALENE","2-CHLORONAPHTALÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","5","5","","6666","NG/G","2-METHYLCHRYSENE","2-MÉTHYLCHRYSÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","6649","NG/G","2-METHYLFLUORANTHENE","2-MÉTHYLFLUORANTHÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","4.15","2.5","","6650","NG/G","2-METHYLNAPHTHALENE","2-MÉTHYLNAPHTALÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","86.9","0","","6667","%","2-METHYLNAPHTHALENE-D10","2-MÉTHYLNAPHTALÈNE-D10","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7080","NG/G","3,3',4,4',5,5'-HEXACHLOROBIPHENYL (PCB 169)","3,3',4,4',5,5'-HEXACHLOROBIPHÉNYLE (BPC 169)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","6638","NG/G","3-METHYLCHOLANTHRENE","3-MÉTHYLCHOLANTHRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","4.64","2.5","","6651","NG/G","3-METHYLCHRYSENE","3-MÉTHYLCHRYSÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","7.5","7.5","","6653","NG/G","4-METHYLCHRYSENE/6-METHYLCHRYSENE","4-MÉTHYLCHRYSÈNE/6-MÉTHYLCHRYSÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","6652","NG/G","5-METHYLCHRYSENE","5-MÉTHYLCHRYSÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","6654","NG/G","7H-DIBENZO(C,G)CARBAZOLE","7H-DIBENZO(C,G)CARBAZOLE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","5","5","","6662","NG/G","7-ISOPROPYL-1-METHYLPHENANTHRENE (RETENE)","1-PHÉNANTHRÈNE DE MÉTHYL 7-ISOPROPYL (RÉTÈNE)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","5","5","","6621","NG/G","ACENAPHTHENE","ACENAPHTÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","115","0","","6669","%","ACENAPHTHENE-D10","ACÉNAPHTÈNE-D10","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","2.96","2.5","","6622","NG/G","ACENAPHTHYLENE","ACÉNAPHTYLÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6096","NG/G","ALDRIN","ALDRINE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6092","NG/G","ALPHA-BENZENEHEXACHLORIDE","ALPHA-HEXACHLORURE DE BENZÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6099","NG/G","ALPHA-CHLORDANE","ALPHA-CHLORDANE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6097","NG/G","ALPHA-ENDOSULFAN","ALPHA-ENDOSULFAN","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","39100","50","50","103202","µG/G","ALUMINUM TOTAL RECOVERABLE","ALUMINIUM TOTAL RÉCUPÉRABLE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","3.28","2.5","","6655","NG/G","ANTHANTHRENE","ANTHANTHRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","43","0","","6670","%","ANTHRACENE-D10","ANTHRACÈNE-D10","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","0.1","0.1","0.1","103199","µG/G","ANTIMONY TOTAL RECOVERABLE","ANTIMOINE RÉCUPÉRABLE TOTAL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","12","1","1","103187","µG/G","ARSENIC TOTAL RECOVERABLE","ARSENIC RÉCUPÉRABLE TOTAL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","213","1","1","103203","µG/G","BARIUM TOTAL RECOVERABLE","BARYUM TOTAL RÉCUPÉRABLE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","10.3","2.5","","6624","NG/G","BENZO(A)ANTHRACENE","BENZO(A)ANTHRACÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","17","2.5","","6632","NG/G","BENZO(A)PHENANTHRENE","BENZO(A)PHÉNANTHRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","17.4","5","","6630","NG/G","BENZO(A)PYRENE","BENZO(A)PYRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","94.8","0","","6673","%","BENZO(A)PYRENE-D12","BENZO(A)PYRÈNE-D12","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","28.2","5","","6625","NG/G","BENZO(B)FLUORANTHENE","BENZO(B)FLUORANTHÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","6629","NG/G","BENZO(C)PHENANTHRENE","BENZO(C)PHÉNANTHRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","21","2.5","","6631","NG/G","BENZO(E)PYRENE","BENZO(E)PYRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","21.4","2.5","","6628","NG/G","BENZO(G,H,I)PERYLENE","BENZO(G,H,I)PÉRYLÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","9.9","2.5","","6626","NG/G","BENZO(J)FLUORANTHENE","BENZO(J)FLUORANTHÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","10.2","2.5","","6627","NG/G","BENZO(K)FLUORANTHENE","BENZO(K)FLUORANTHÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","23.1","5","","6641","NG/G","BENZOPHENANTHRENE","BENZOPHÉNANTHRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","1.4","0.01","0.01","103188","µG/G","BERYLLIUM TOTAL RECOVERABLE","BÉRYLLIUM RÉCUPÉRABLE TOTAL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6085","NG/G","BETA-BENZENEHEXACHLORIDE OR GAMMA-HEXACHLOROCYCLOHEXANE","BÉTA-HEXACHLORURE DE BENZÈNE OU GAMMA-HEXACHLOROCYCLOHEXANE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6098","NG/G","BETA-ENDOSULFAN","BÉTA-ENDOSULFAN","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","53.4","","","4672","%","BETA-HEXACHLOROCYCLOHEXANE (BETA-HCH OR BETA-BHC)","BÉTA-HEXACHLOROCYCLOHEXANE (BÉTA-HCH OU BÉTA-BHC)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","3.12","2.5","","6656","NG/G","BIPHENYL","BIPHÉNYLE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","126","0","","6668","%","BIPHENYL-D10","BIPHÉNYLE-D10","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","0.2","0.1","0.1","103189","µG/G","BISMUTH TOTAL RECOVERABLE","BISMUTH RÉCUPÉRABLE TOTAL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","0.6","0.1","0.1","103190","µG/G","CADMIUM TOTAL RECOVERABLE","CADMIUM RÉCUPÉRABLE TOTAL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","8800","50","50","103212","µG/G","CALCIUM TOTAL RECOVERABLE","CALCIUM RÉCUPÉRABLE TOTAL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","6657","NG/G","CARBAZOLE OR DIBENZOPYRROLE","CARBAZOLE OU DIBENZOPYRROLE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","1.65","","","6912","%","CARBON PARTICULATE ORGANIC","CARBONE ORGANIQUE PARTICULAIRE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","0.31","","","2674","%","CARBON TOTAL INORGANIC","CARBONE INORGANIQUE TOTAL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","72.7","0.002","0.002","103727","µG/G","CERIUM TOTAL RECOVERABLE","CÉRIUM TOTAL RÉCUPÉRABLE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","2.89","0.001","0.001","103728","µG/G","CESIUM TOTAL RECOVERABLE","CÉSIUM TOTAL RÉCUPÉRABLE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6118","NG/G","CHLOROTHALONIL","CHLOROTHALONIL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","70","1","1","103204","µG/G","CHROMIUM TOTAL RECOVERABLE","CHROME  RÉCUPÉRABLE TOTAL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","84.1","0","","6672","%","CHRYSENE-D12","CHRYSÈNE-D12","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6119","NG/G","CIS-NONACHLOR","CIS-NONACHLOR","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","15.4","0.1","0.1","103191","µG/G","COBALT TOTAL RECOVERABLE","COBALT RÉCUPÉRABLE TOTAL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","34","2","2","103740","µG/G","COPPER  TOTAL RECOVERABLE","CUIVRE RÉCUPÉRABLE TOTAL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","8.31","2.5","","6658","NG/G","CORONENE","CORONÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","2.5","2.5","","7094","NG/G","DECACHLOROBIPHENYL (PCB 209)","DÉCACHLOROBIPHÉNYLE (BPC 209)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6120","NG/G","D-HEXACHLOROHEXANE (D-HCH)","D-HEXACHLOROHEXANE (D-HCH)","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","5.34","2.5","","6663","NG/G","DIBENZ(A,J)ANTHRACENE","DIBENZ(A,J)ANTHRACÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","5.36","2.5","","6659","NG/G","DIBENZO(A,C/A,H)ANTHRACENE","DIBENZO(A,C/A,H)ANTHRACÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","11.1","2.5","","6665","NG/G","DIBENZO(A,E)FLUORANTHENE","DIBENZO(A,E)FLUORANTHÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","7.7","2.5","","6664","NG/G","DIBENZO(A,E)PYRENE","DIBENZO(A,E)PYRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","115","0","","6674","%","DIBENZO(A,H)ANTHRACENE-D14","DIBENZO(A,H)ANTHRACÈNE-D14","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","5","5","","6633","NG/G","DIBENZO(A,H)PYRENE","DIBENZO(A,H)PYRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","5","5","","6634","NG/G","DIBENZO(A,I)PYRENE","DIBENZO(A,I)PYRÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6090","NG/G","DIELDRIN","DIELDRINE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6122","NG/G","ENDOSULFAN SULPHATE","SULFATE D'ENDOSULFAN","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6093","NG/G","ENDRIN","ENDRINE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6124","NG/G","ENDRIN KETONE","ENDRINE CÉTONE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","30","5","","6635","NG/G","FLUORANTHENE","FLUORANTHÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","5.43","2.5","","6636","NG/G","FLUORENE","FLUORÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","13.8","0.02","0.02","103192","µG/G","GALLIUM TOTAL RECOVERABLE","GALLIUM RÉCUPÉRABLE TOTAL","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6094","NG/G","GAMMA-CHLORDANE","GAMMA-CHLORDANE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03"," ","58.8","","","4673","%","GAMMA-CHLORDENE","GAMMA-CHLORDÈNE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","0.01","0.01","0.01","103736","µG/G","GOLD TOTAL RECOVERABLE","OR TOTAL RÉCUPÉRABLE","P"
"ON02IG0248","2017-09-19 12:00","S.SURFACE","0","-0.03","<","1.25","1.25","","6086","NG/G","HEPTACHLOR","HEPTACHLOR","P"
