"Date
 (dd-mm-yyyy)",Lake,Satellite Sensor,Bloom Extent (KM2),Bloom Extent (% of Lake Area),Bloom Intensity (µg/L),Bloom Severity (µg/L km2),"Valid Pixels
 (% of Lake Area)"
28/08/2003,Lake Erie,MERIS,426.24,1.6,31.31,13343.57,99.98
30/08/2003,Lake Erie,MERIS,461.79,1.73,30.53,14099.37,99.97
31/08/2003,Lake Erie,MERIS,503.55,1.89,30.13,15170.8,99.95
02/09/2003,Lake Erie,MERIS,518.4,1.94,29.61,15351.22,99.94
03/09/2003,Lake Erie,MERIS,521.28,1.95,29.52,15386.67,99.93
08/09/2003,Lake Erie,MERIS,532.17,1.99,26.03,13852.65,92.03
09/09/2003,Lake Erie,MERIS,621.09,2.33,26.32,16349.88,95.58
13/09/2003,Lake Erie,MERIS,557.01,2.09,26.67,14856.57,93.36
16/09/2003,Lake Erie,MERIS,558.54,2.09,26.83,14984.51,93.16
18/09/2003,Lake Erie,MERIS,907.02,3.4,24.36,22093.1,96.52
19/09/2003,Lake Erie,MERIS,907.02,3.4,24.36,22093.1,96.52
21/09/2003,Lake Erie,MERIS,1374.03,5.15,24.32,33412.01,99.26
22/09/2003,Lake Erie,MERIS,1401.21,5.25,23.81,33358.47,98.72
24/09/2003,Lake Erie,MERIS,1395.18,5.23,23.74,33127.71,97.58
25/09/2003,Lake Erie,MERIS,1340.64,5.02,23.28,31210.5,98.68
27/09/2003,Lake Erie,MERIS,1280.7,4.8,23.74,30403.18,98.81
28/09/2003,Lake Erie,MERIS,1267.74,4.75,23.5,29787.96,99.11
30/09/2003,Lake Erie,MERIS,1247.76,4.68,23.15,28888.26,99.16
01/10/2003,Lake Erie,MERIS,1282.95,4.81,22.4,28737.82,99.32
04/10/2003,Lake Erie,MERIS,1185.03,4.44,22.1,26190.11,98.33
05/10/2003,Lake Erie,MERIS,953.64,3.57,20.94,19967.22,94.09
07/10/2003,Lake Erie,MERIS,788.76,2.96,21.57,17017.42,98.68
08/10/2003,Lake Erie,MERIS,793.17,2.97,21.53,17075.44,98.93
10/10/2003,Lake Erie,MERIS,671.85,2.52,21.41,14381.02,99.01
16/10/2003,Lake Erie,MERIS,444.33,1.67,22.52,10006,97.83
17/10/2003,Lake Erie,MERIS,428.31,1.61,21.78,9328.42,98.97
19/10/2003,Lake Erie,MERIS,409.68,1.54,22.73,9310.02,98.98
20/10/2003,Lake Erie,MERIS,399.87,1.5,22.77,9105.12,99.19
21/10/2003,Lake Erie,MERIS,410.22,1.54,20.56,8435.76,97.45
22/10/2003,Lake Erie,MERIS,415.53,1.56,20.43,8487.78,97.13
23/10/2003,Lake Erie,MERIS,420.03,1.57,20.25,8505.82,97.15
24/10/2003,Lake Erie,MERIS,489.6,1.83,19.86,9722.13,96.87
26/10/2003,Lake Erie,MERIS,489.6,1.83,19.86,9722.13,96.87
27/10/2003,Lake Erie,MERIS,471.24,1.77,19.87,9365.14,97.13
29/10/2003,Lake Erie,MERIS,471.24,1.77,19.87,9365.14,97.13
30/10/2003,Lake Erie,MERIS,319.59,1.2,22.11,7065.98,99.63
01/06/2004,Lake Erie,MERIS,69.12,0.26,52.4,3621.92,47.03
02/06/2004,Lake Erie,MERIS,74.61,0.28,49.11,3664.04,49.23
05/06/2004,Lake Erie,MERIS,195.48,0.73,31.03,6066.06,86.61
06/06/2004,Lake Erie,MERIS,195.12,0.73,31.06,6059.9,93.28
08/06/2004,Lake Erie,MERIS,145.44,0.55,37.2,5410.16,98.96
09/06/2004,Lake Erie,MERIS,143.91,0.54,37.45,5389.95,98.97
11/06/2004,Lake Erie,MERIS,143.91,0.54,37.45,5389.95,98.97
12/06/2004,Lake Erie,MERIS,144.45,0.54,37.38,5399.28,98.97
14/06/2004,Lake Erie,MERIS,138.87,0.52,37.85,5256.38,99.06
15/06/2004,Lake Erie,MERIS,134.55,0.5,36.69,4936.02,99.33
17/06/2004,Lake Erie,MERIS,123.12,0.46,37.84,4659.39,99.37
18/06/2004,Lake Erie,MERIS,122.94,0.46,37.88,4657.03,99.45
21/06/2004,Lake Erie,MERIS,113.22,0.42,34.64,3921.58,99.42
22/06/2004,Lake Erie,MERIS,91.44,0.34,28.25,2582.94,99.09
24/06/2004,Lake Erie,MERIS,92.25,0.35,28.48,2627.41,99.51
25/06/2004,Lake Erie,MERIS,92.25,0.35,28.48,2627.39,99.51
27/06/2004,Lake Erie,MERIS,92.16,0.35,28.12,2591.39,99.53
28/06/2004,Lake Erie,MERIS,102.33,0.38,27.12,2774.7,99.51
30/06/2004,Lake Erie,MERIS,80.1,0.3,25.16,2015.25,99.25
01/07/2004,Lake Erie,MERIS,105.93,0.4,28.16,2983.25,99.52
04/07/2004,Lake Erie,MERIS,107.1,0.4,27.55,2950.98,99.58
05/07/2004,Lake Erie,MERIS,108.09,0.41,27.57,2979.59,99.51
06/07/2004,Lake Erie,MERIS,133.11,0.5,31.81,4234.54,99.62
07/07/2004,Lake Erie,MERIS,131.4,0.49,32.03,4208.79,99.65
11/07/2004,Lake Erie,MERIS,145.44,0.55,30.53,4439.61,99.1
13/07/2004,Lake Erie,MERIS,131.67,0.49,37.72,4966.01,99.71
14/07/2004,Lake Erie,MERIS,131.67,0.49,37.72,4966.01,99.71
16/07/2004,Lake Erie,MERIS,136.08,0.51,47.98,6529.51,99.87
17/07/2004,Lake Erie,MERIS,135.45,0.51,48.12,6518.1,99.88
20/07/2004,Lake Erie,MERIS,131.58,0.49,51.24,6742.25,99.88
22/07/2004,Lake Erie,MERIS,130.77,0.49,51.34,6713.95,99.88
23/07/2004,Lake Erie,MERIS,152.1,0.57,51.7,7863.08,99.94
25/07/2004,Lake Erie,MERIS,151.65,0.57,51.81,7856.41,99.84
26/07/2004,Lake Erie,MERIS,151.65,0.57,51.81,7856.41,99.84
27/07/2004,Lake Erie,MERIS,150.75,0.57,53.32,8038.55,99.69
28/07/2004,Lake Erie,MERIS,150.75,0.57,53.32,8038.55,99.69
29/07/2004,Lake Erie,MERIS,166.77,0.63,48.48,8085.78,99.91
30/07/2004,Lake Erie,MERIS,172.17,0.65,44.69,7693.45,96.58
02/08/2004,Lake Erie,MERIS,208.8,0.78,40.41,8437.69,99.18
04/08/2004,Lake Erie,MERIS,237.78,0.89,38.22,9086.79,96.72
05/08/2004,Lake Erie,MERIS,254.43,0.95,37.23,9472.71,99.72
07/08/2004,Lake Erie,MERIS,245.7,0.92,39.23,9639.25,99.73
08/08/2004,Lake Erie,MERIS,296.1,1.11,35.9,10631.41,99.9
09/08/2004,Lake Erie,MERIS,296.46,1.11,35.87,10635.27,99.9
10/08/2004,Lake Erie,MERIS,284.04,1.06,35.8,10168.6,99.93
13/08/2004,Lake Erie,MERIS,297.72,1.12,36.89,10983.75,99.82
14/08/2004,Lake Erie,MERIS,299.16,1.12,36.31,10862.05,99.88
17/08/2004,Lake Erie,MERIS,275.76,1.03,37.28,10279.23,99.98
18/08/2004,Lake Erie,MERIS,270.99,1.02,37.7,10215.4,99.98
20/08/2004,Lake Erie,MERIS,273.6,1.03,37.8,10341.72,99.97
21/08/2004,Lake Erie,MERIS,279.18,1.05,33.57,9371.18,99.99
23/08/2004,Lake Erie,MERIS,266.31,1,32.12,8553.34,98.01
24/08/2004,Lake Erie,MERIS,260.01,0.97,30.05,7812.1,99.97
26/08/2004,Lake Erie,MERIS,251.28,0.94,30.63,7696.25,99.97
27/08/2004,Lake Erie,MERIS,250.92,0.94,30.65,7690.3,99.97
29/08/2004,Lake Erie,MERIS,261.72,0.98,29.46,7709.75,99.93
30/08/2004,Lake Erie,MERIS,285.84,1.07,29.3,8374.31,99.93
31/08/2004,Lake Erie,MERIS,317.52,1.19,26.82,8515.35,99.56
01/09/2004,Lake Erie,MERIS,319.95,1.2,26.72,8548.65,99.07
02/09/2004,Lake Erie,MERIS,426.24,1.6,22.14,9437.93,99.92
03/09/2004,Lake Erie,MERIS,427.41,1.6,22.11,9451.83,99.92
05/09/2004,Lake Erie,MERIS,385.38,1.44,22.66,8733.25,99.91
06/09/2004,Lake Erie,MERIS,375.57,1.41,23.57,8852.41,99.91
08/09/2004,Lake Erie,MERIS,427.59,1.6,22.84,9764.1,99.9
09/09/2004,Lake Erie,MERIS,440.28,1.65,22.52,9915.99,99.9
11/09/2004,Lake Erie,MERIS,454.77,1.7,26.91,12240.04,99.91
12/09/2004,Lake Erie,MERIS,432.54,1.62,29.15,12609.45,99.91
13/09/2004,Lake Erie,MERIS,430.74,1.61,29.21,12583.81,99.91
14/09/2004,Lake Erie,MERIS,419.13,1.57,29.26,12262.19,99.92
15/09/2004,Lake Erie,MERIS,368.46,1.38,31.79,11714.45,99.93
17/09/2004,Lake Erie,MERIS,350.46,1.31,35.04,12281.56,99.91
18/09/2004,Lake Erie,MERIS,354.6,1.33,35.46,12572.45,99.91
19/09/2004,Lake Erie,MERIS,332.91,1.25,43.14,14363.3,99.45
21/09/2004,Lake Erie,MERIS,333.09,1.25,43.87,14614.06,99.28
24/09/2004,Lake Erie,MERIS,331.92,1.24,43.06,14291.81,99.39
25/09/2004,Lake Erie,MERIS,282.87,1.06,38.64,10929.81,99.5
27/09/2004,Lake Erie,MERIS,282.33,1.06,34.11,9630.9,99.5
28/09/2004,Lake Erie,MERIS,288.9,1.08,33.87,9785.07,99.52
01/10/2004,Lake Erie,MERIS,307.71,1.15,31.2,9599.54,99.19
02/10/2004,Lake Erie,MERIS,302.49,1.13,30.22,9140.49,99.19
05/10/2004,Lake Erie,MERIS,322.02,1.21,27.03,8705.13,98.67
07/10/2004,Lake Erie,MERIS,318.33,1.19,27.38,8714.6,99.76
08/10/2004,Lake Erie,MERIS,319.86,1.2,27.43,8774.05,99.74
10/10/2004,Lake Erie,MERIS,333,1.25,27.46,9145.08,99.69
11/10/2004,Lake Erie,MERIS,317.52,1.19,27.71,8797.84,99.68
13/10/2004,Lake Erie,MERIS,325.53,1.22,27.47,8943.58,99.64
14/10/2004,Lake Erie,MERIS,318.87,1.2,26.76,8532.93,99.9
16/10/2004,Lake Erie,MERIS,312.57,1.17,26.55,8299.39,99.37
17/10/2004,Lake Erie,MERIS,312.48,1.17,26.56,8298.47,99.37
18/10/2004,Lake Erie,MERIS,312.48,1.17,26.56,8298.47,99.37
22/10/2004,Lake Erie,MERIS,262.62,0.98,27.22,7149.54,51.98
23/10/2004,Lake Erie,MERIS,286.02,1.07,25.99,7433.29,74.59
24/10/2004,Lake Erie,MERIS,149.85,0.56,28.76,4309.55,46.66
25/10/2004,Lake Erie,MERIS,149.76,0.56,28.98,4339.37,46.65
26/10/2004,Lake Erie,MERIS,165.24,0.62,25.03,4135.92,83.38
27/10/2004,Lake Erie,MERIS,169.11,0.63,24.73,4182.67,92.16
29/10/2004,Lake Erie,MERIS,162.45,0.61,21.33,3465.04,90.74
30/10/2004,Lake Erie,MERIS,161.91,0.61,21.74,3520.46,91.19
02/06/2005,Lake Erie,MERIS,152.01,0.57,36.95,5617.38,71.14
04/06/2005,Lake Erie,MERIS,152.01,0.57,36.95,5617.38,71.14
06/06/2005,Lake Erie,MERIS,195.75,0.73,40.46,7920.03,87.01
07/06/2005,Lake Erie,MERIS,197.37,0.74,40.24,7941.95,96.36
09/06/2005,Lake Erie,MERIS,189.9,0.71,41.25,7832.56,98.6
10/06/2005,Lake Erie,MERIS,189.18,0.71,41.35,7823.26,99.77
13/06/2005,Lake Erie,MERIS,189.18,0.71,41.35,7823.26,99.77
18/06/2005,Lake Erie,MERIS,169.02,0.63,48.83,8252.4,99.58
19/06/2005,Lake Erie,MERIS,187.2,0.7,51.43,9626.97,99.83
20/06/2005,Lake Erie,MERIS,94.68,0.35,53.99,5112.01,96.78
22/06/2005,Lake Erie,MERIS,94.59,0.35,54.06,5113.13,96.78
23/06/2005,Lake Erie,MERIS,100.62,0.38,52.02,5234.14,95.97
24/06/2005,Lake Erie,MERIS,100.53,0.38,52.14,5241.48,78.44
25/06/2005,Lake Erie,MERIS,170.82,0.64,49.63,8477.86,96.62
26/06/2005,Lake Erie,MERIS,171.18,0.64,49.55,8481.68,99.13
28/06/2005,Lake Erie,MERIS,167.85,0.63,46.74,7844.87,99.42
29/06/2005,Lake Erie,MERIS,166.77,0.63,46.8,7804.05,99.71
01/07/2005,Lake Erie,MERIS,175.05,0.66,48.66,8518.11,99.92
02/07/2005,Lake Erie,MERIS,182.79,0.69,47.86,8748.37,99.99
04/07/2005,Lake Erie,MERIS,185.67,0.7,46.67,8665.05,99.72
05/07/2005,Lake Erie,MERIS,185.67,0.7,46.67,8665.05,99.72
08/07/2005,Lake Erie,MERIS,185.58,0.7,46.69,8665.05,99.72
12/07/2005,Lake Erie,MERIS,196.83,0.74,51.11,10059.86,97.28
14/07/2005,Lake Erie,MERIS,182.07,0.68,49.57,9025.25,98.44
15/07/2005,Lake Erie,MERIS,161.73,0.61,45.98,7436.23,96.32
17/07/2005,Lake Erie,MERIS,151.83,0.57,45.71,6940.89,88.06
18/07/2005,Lake Erie,MERIS,152.1,0.57,44.37,6748.01,94.22
20/07/2005,Lake Erie,MERIS,152.1,0.57,44.37,6748.01,94.15
21/07/2005,Lake Erie,MERIS,163.8,0.61,42.4,6944.86,97.01
24/07/2005,Lake Erie,MERIS,163.8,0.61,42.4,6944.86,97.01
25/07/2005,Lake Erie,MERIS,163.8,0.61,42.4,6944.86,97.01
27/07/2005,Lake Erie,MERIS,163.08,0.61,42.53,6935.3,97.04
28/07/2005,Lake Erie,MERIS,77.22,0.29,21.94,1694.38,93.27
29/07/2005,Lake Erie,MERIS,147.87,0.55,21.51,3180.36,91.45
31/07/2005,Lake Erie,MERIS,199.89,0.75,20.91,4179.48,91.63
01/08/2005,Lake Erie,MERIS,182.52,0.68,19.13,3492.26,78.19
02/08/2005,Lake Erie,MERIS,284.49,1.07,41.04,11675.16,99.95
03/08/2005,Lake Erie,MERIS,279.81,1.05,41.33,11563.32,99.95
05/08/2005,Lake Erie,MERIS,251.46,0.94,38.81,9758.74,99.98
06/08/2005,Lake Erie,MERIS,223.11,0.84,34.25,7641.14,99.99
08/08/2005,Lake Erie,MERIS,223.11,0.84,34.25,7641.14,99.99
09/08/2005,Lake Erie,MERIS,219.42,0.82,35.94,7885.85,100
11/08/2005,Lake Erie,MERIS,219.51,0.82,35.93,7886.51,100
13/08/2005,Lake Erie,MERIS,202.14,0.76,37.62,7604.39,100
16/08/2005,Lake Erie,MERIS,176.4,0.66,36.32,6406.3,100
17/08/2005,Lake Erie,MERIS,183.6,0.69,35.53,6524.06,99.99
18/08/2005,Lake Erie,MERIS,200.16,0.75,36.79,7362.99,100
19/08/2005,Lake Erie,MERIS,202.77,0.76,37.11,7525.5,99.99
21/08/2005,Lake Erie,MERIS,251.64,0.94,39.42,9920.66,99.98
22/08/2005,Lake Erie,MERIS,249.12,0.93,38.57,9609.18,99.98
24/08/2005,Lake Erie,MERIS,338.85,1.27,33.28,11277.94,99.85
25/08/2005,Lake Erie,MERIS,335.7,1.26,33.45,11230.24,99.86
27/08/2005,Lake Erie,MERIS,335.7,1.26,33.45,11230.24,99.86
28/08/2005,Lake Erie,MERIS,340.83,1.28,33.35,11365.45,99.93
29/08/2005,Lake Erie,MERIS,340.83,1.28,33.35,11365.45,99.93
01/09/2005,Lake Erie,MERIS,353.88,1.33,32.83,11618.34,99.85
03/09/2005,Lake Erie,MERIS,367.02,1.38,32.44,11904.84,99.89
04/09/2005,Lake Erie,MERIS,386.91,1.45,30.85,11935.67,99.8
06/09/2005,Lake Erie,MERIS,403.92,1.51,31.1,12561.23,99.84
07/09/2005,Lake Erie,MERIS,418.95,1.57,30.36,12717.6,99.8
10/09/2005,Lake Erie,MERIS,396,1.48,30.97,12265.03,99.88
13/09/2005,Lake Erie,MERIS,325.08,1.22,33.45,10872.89,99.93
16/09/2005,Lake Erie,MERIS,325.26,1.22,33.44,10875.36,99.93
20/09/2005,Lake Erie,MERIS,258.39,0.97,36.35,9391.18,99.74
22/09/2005,Lake Erie,MERIS,255.42,0.96,36.56,9337.59,99.74
23/09/2005,Lake Erie,MERIS,258.75,0.97,36.24,9376.63,99.74
25/09/2005,Lake Erie,MERIS,247.86,0.93,35.13,8708.31,99.58
26/09/2005,Lake Erie,MERIS,243.81,0.91,34.7,8460.69,99.58
28/09/2005,Lake Erie,MERIS,39.69,0.15,20.65,819.79,50.26
29/09/2005,Lake Erie,MERIS,680.85,2.55,19.86,13524.34,73.14
01/10/2005,Lake Erie,MERIS,682.47,2.56,19.84,13542.05,72.93
02/10/2005,Lake Erie,MERIS,248.31,0.93,31.37,7788.24,98.67
04/10/2005,Lake Erie,MERIS,217.53,0.82,32.6,7091.91,99.88
06/10/2005,Lake Erie,MERIS,217.89,0.82,32.57,7096.05,99.88
08/10/2005,Lake Erie,MERIS,216.72,0.81,32.59,7063.77,99.86
09/10/2005,Lake Erie,MERIS,215.37,0.81,32.71,7044.26,99.86
11/10/2005,Lake Erie,MERIS,213.21,0.8,32.82,6998.55,99.86
12/10/2005,Lake Erie,MERIS,212.94,0.8,32.85,6994.91,99.86
14/10/2005,Lake Erie,MERIS,173.16,0.65,33.4,5783.2,99.85
15/10/2005,Lake Erie,MERIS,187.65,0.7,34.05,6388.68,99.92
17/10/2005,Lake Erie,MERIS,189.36,0.71,34.67,6565.89,98.27
18/10/2005,Lake Erie,MERIS,212.13,0.8,32.95,6989.81,99
20/10/2005,Lake Erie,MERIS,223.74,0.84,29.85,6677.92,99.17
21/10/2005,Lake Erie,MERIS,242.64,0.91,28.56,6929.58,99.87
22/10/2005,Lake Erie,MERIS,243.45,0.91,28.53,6945.99,99.87
23/10/2005,Lake Erie,MERIS,243.18,0.91,28.99,7049.74,99.87
25/10/2005,Lake Erie,MERIS,243.81,0.91,28.94,7056.91,99.87
27/10/2005,Lake Erie,MERIS,249.3,0.93,28.53,7113.38,99.88
28/10/2005,Lake Erie,MERIS,291.42,1.09,27.12,7903.66,99.64
30/10/2005,Lake Erie,MERIS,318.87,1.2,25.45,8114.22,99.66
31/10/2005,Lake Erie,MERIS,312.57,1.17,25.69,8030.02,99.67
04/06/2006,Lake Erie,MERIS,141.48,0.53,49.24,6966.93,30
06/06/2006,Lake Erie,MERIS,268.11,1,42.01,11264.13,58.89
08/06/2006,Lake Erie,MERIS,268.11,1,42.01,11264.13,58.89
10/06/2006,Lake Erie,MERIS,289.44,1.08,38.54,11153.98,98.39
12/06/2006,Lake Erie,MERIS,289.44,1.08,38.54,11153.98,98.39
13/06/2006,Lake Erie,MERIS,277.11,1.04,41.57,11520.65,99.53
14/06/2006,Lake Erie,MERIS,277.47,1.04,41.54,11525.66,99.79
16/06/2006,Lake Erie,MERIS,241.29,0.9,45.12,10887.78,99.94
17/06/2006,Lake Erie,MERIS,224.37,0.84,46.49,10430.47,99.98
20/06/2006,Lake Erie,MERIS,221.85,0.83,48.61,10784.93,99.98
24/06/2006,Lake Erie,MERIS,211.59,0.79,52.04,11010.83,99.97
25/06/2006,Lake Erie,MERIS,229.23,0.86,49.64,11378.04,99.97
27/06/2006,Lake Erie,MERIS,223.56,0.84,49.57,11080.8,99.97
28/06/2006,Lake Erie,MERIS,222.57,0.83,49.73,11068.74,99.97
29/06/2006,Lake Erie,MERIS,223.56,0.84,48.67,10880.71,99.98
30/06/2006,Lake Erie,MERIS,242.73,0.91,47.25,11468.02,99.98
02/07/2006,Lake Erie,MERIS,252.9,0.95,48.51,12268.56,99.1
03/07/2006,Lake Erie,MERIS,250.56,0.94,48.85,12239.2,99.49
05/07/2006,Lake Erie,MERIS,218.79,0.82,40.32,8822.55,95.63
06/07/2006,Lake Erie,MERIS,255.51,0.96,36.64,9362.01,98.99
08/07/2006,Lake Erie,MERIS,255.51,0.96,36.64,9362.01,98.99
09/07/2006,Lake Erie,MERIS,244.35,0.92,33.88,8279.53,99.1
14/07/2006,Lake Erie,MERIS,236.79,0.89,32.28,7644.74,97.77
15/07/2006,Lake Erie,MERIS,246.78,0.92,36.34,8969.15,99.88
16/07/2006,Lake Erie,MERIS,247.41,0.93,36.29,8978.43,99.89
17/07/2006,Lake Erie,MERIS,249.57,0.94,36.11,9012.57,99.82
19/07/2006,Lake Erie,MERIS,234.9,0.88,37.19,8735.67,99.82
